Year	TR_Index	CPI
1970	4.01%	5.72%
1971	14.31%	4.38%
1972	18.98%	3.21%
1973	-14.66%	6.22%
1974	-26.47%	11.04%
1975	37.20%	9.13%
1976	23.84%	5.76%
1977	-7.18%	6.50%
1978	6.56%	7.59%
1979	18.44%	11.35%
1980	32.50%	13.50%
1981	-4.92%	10.32%
1982	21.55%	6.16%
1983	22.56%	3.21%
1984	6.27%	4.32%
1985	31.73%	3.56%
1986	18.67%	1.86%
1987	5.25%	3.65%
1988	16.61%	4.14%
1989	31.69%	4.82%
1990	-3.10%	5.40%
1991	30.47%	4.21%
1992	7.62%	3.01%
1993	10.08%	2.99%
1994	1.32%	2.56%
1995	37.58%	2.83%
1996	22.96%	2.95%
1997	33.36%	2.29%
1998	28.58%	1.56%
1999	21.04%	2.21%
2000	-9.10%	3.36%
2001	-11.89%	2.85%
2002	-22.10%	1.58%
2003	28.68%	2.28%
2004	10.88%	2.66%
2005	4.91%	3.39%
2006	15.79%	3.23%
2007	5.49%	2.85%
2008	-37.00%	3.84%
2009	26.46%	-0.36%
2010	15.06%	1.64%
2011	2.11%	3.16%
2012	16.00%	2.07%
2013	32.39%	1.46%
2014	13.69%	1.62%
